tweet,location
"Respected Indian Citizens, Namaskaar🙏
I am the original Gandhi. 
I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. 
Take care🙏 https://t.co/BflZqhXsHg",Lucknow
@sunitkroy There are many examples of all parties in Indian politics.,Chennai
"@PCMohanMP @BJPLive @bjpsamvad @BJPCentralMedia @KapilMishra_IND @Rajeev_GoI @Indian_Analyzer @amritabhinder @thakkar_sameet @amarprasadreddy @RashmiDVS Yeah the difference is violence, purchase MLA's, use every govt institution as their lap dogs, always bring religion to politics, never let media discuss real issues

Indeed it is a party with the difference",Bengaluru
"@INCIndia Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏",Lucknow
"@drshamamohd @narendramodi @RahulGandhi Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏",Delhi
"“Chaitanya Ratham”🔥
The vehicle that played a crucial part in uplifting the Pride of Telugus and Creating a golden chapter for Andhra Pradesh in Indian Politics🙏🏻🙏🏻🙏🏻
#41YearsOfTeluguDesam 
#41YearsForUnstoppableTDP 
Jai @ncbn Johar #Ntr https://t.co/GbYCcS1Db6",Lucknow
"@IYC Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏",Delhi
"@SupriyaShrinate Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏",Hyderabad
"Respected Indian Citizens, Namaskaar🙏I am the original Gandhi. I have no branches or franchises. None of my relatives are in politics. Beware of fake Gandhi's. Take care🙏 https://t.co/XJcVv5JRES",Kolkata
@OliveGreens09 Spot on! Rajasthan and Indian politics would have been totally different if Hanumant Singhji had lived longer. It's impossible for ANPADH people to understand it. Look at the disgusting language used for Hanumant Singhji by this woman.,Ahmedabad
@ShilpiSinghINC Le jaichand in indian politics https://t.co/ufWMeY468c,Ahmedabad
"@sumonseng The list of glaring failures notwithstanding, @narendramodi is still the dominant force in Indian politics. I find it hard to fathom what makes him so endearing to the suffering masses? Or have the electorate resigned themselves to fate?",Lucknow
@indhavaainko She is not into Indian Politics,Pune
"@ANI The day Paap of Politics AAP becomes National Party, the day this nation is doomed into freebies

Delhi govt ad spending increased over 4,200% from 2012 to 2022: RTI replies.

Lot more than this, https://t.co/0fGNBee72Y",Chennai
"Mr. @ThinkersPad  (Piyush Kulsheshtra) took sessions on Period of Coalition Politics: PM Atal Bihari Bajpayee, PM Manmohan Singh &amp; introduced to the student's social media platform @Khulke https://t.co/MJMxVULR6w",Delhi
"@ANI BJP takes pride in delving in the most vile level of politics ....religion , caste and nationalism .... Never on the parameters on which modern States have been founded . A perfect recipe to founder India...a troglodytic level of politics for troglodytes like us Indian.",Chennai
@WilfredQuadros1 @DrSJaishankar Dr Jaishankar born to Indian parents. His children not in active politics.,Bengaluru
@ANI should we laugh or cry. Who is calling whom Corrupt. Jokers of  Indian politics,Pune
It’s official. The semifinal of Indian Politics  #KarnatakaAssemblyElection2023 will be on May 10 &amp; counting on May 13. This will be the litmus test for @BJP4India &amp; @INCIndia. Whoever wins has more chances of winning #LokSabha2024. Hope kannadigas will use their hand to press…,Mumbai
@prathib2002 @funtasticindian @WilfredQuadros1 @DrSJaishankar So you have no respect for the Indian PM who died on line of duty? Keep aside politics for at least a sec and think about it.,Jaipur
Very bad mentality of indian politics,Kolkata
"@tanvi_madan It probably also prevented Western academia from manipulating Indian domestic politics. Western academia are an extension of the deep state. They 'study' us like they study a microbe..for their benefit.
Asian nations must build their own research",Kolkata
@IamAjaySehrawat He is a curse for Indian politics……,Lucknow
"@RoKhanna Why are you meddling in indian politics when your government itself is planning to jail @realDonaldTrump ? @RahulGandhi is an idiot and nothing more. Just like you, who uses his grandfather for politics he also doss the same. So stop being a sepoy and mind your own biz",Mumbai
"Who better than @arvindneela to write on Indian science &amp; culture with a sprinkle of history, politics, &amp; spirituality with a dash of rooted sophistication! Thank you very much for appreciating our initiative https://t.co/Colv1oOQKT!

@interstellar_go @SwarajyaMag @nitingokhale",Chennai
"A big distraction is on the way to distract people from Rahul Gandhi's matter.. Fingers crossed.. Please guess who might do what in comments? 

#fraudi #RahulGandhi #indianpolitics",Hyderabad
"Arvind Kejriwal is the only person who can make Rahul Gandhi look bearable. 

The man has no shame, no credibility, and no future in Indian politics.",Chennai
"This is such a politics going on the Indian food and we have to boycott this one 
#BoycottFOPNL",Jaipur
@Karthikravivarm #thalaivar ku yenda arasiyal arivu ippo venum....he is just a pan Indian actor....he has nothing to do with politics unlike Komali Hassan who doesn't even know what is politics and now licking dmk's legs to get #Indian2 release properly,Lucknow
"@AamAadmiParty @ArvindKejriwal His end is going to be the worst in the history of Indian politics.
Ages will remember him as a symbol of mistake.

At last he will shoot himself as Hitler did.",Lucknow
@abrardalal @GovindarajanV10 @t_d_h_nair @DrSJaishankar The nris are the ones who salivate after green card and PR while at the same time wanting to poke into Indian politics .. disgusting,Hyderabad
"Why should a disqualified MP live on the taxpayers' money?
C0ngress thinks they can come to power by making such Demands &amp; special status for the Gandhi Family. The more they do such Nautanki, the more quickly will C0ngess get wiped out from Indian Politics.
Enjoy the Show.🍿",Jaipur
"Probing early Pakistan: East Bengal politicians and their exchanges with Prime Minister Liaquat Ali Khan, 1947–51 -

https://t.co/3ruEAxejKq

Paper highlights Jogendra Nath Mandal's political evolution &amp; thus essential to understand both religious &amp; Caste politics in Indian subc.",Hyderabad
"@WilfredQuadros1 @DrSJaishankar Are his kids in Indian Politics? No and they won't,not everyone is liar like Sonia Gandhi, my Kids will never enter into Politics (after the assassination of Rajiv).

#CongressMuktBharat",Jaipur
Golden days of Indian politics....@NiteshNRane sir https://t.co/9HzYQQnL4A,Bengaluru
"@MeghUpdates In politics, anything can be possible.
V have seen what happened between Shiv sena and Dev fadnavis gang after waiting for Justice for SSR!
If what this OPPORTUNIST says is true, I will be the most disappointed person and lose hope in Indian politicians forever.
@narendramodi",Mumbai
@ElijahSchaffer He is a Khalistani &amp; Canada harbours them for petty politics &amp; few Sikh votes! Despite repeated requests from Indian authorities Canadian government do nothing to nab them! Canada will soon turn into Terror Breeding ground with help of likes of Jagmit Singh.,Pune
"There are only 3 lions in India, Kohli in cricket, Narendra Modi in politics and Indian Army in Soldier. #NarendraModi #ViratKohli𓃵 #indianarmy",Lucknow
"You can be both Liberal and Zionist simultaneously and become successful leader.
Golda Meir, the iron lady of Israeli politics, is an inspiration in this direction.
She is similar to Indian ex PM Indira Gandhi...

https://t.co/b29xrIUSHJ",Lucknow
"@MahuaMoitra @Reuters Indian companies going global are being targeted by foreign media and institutes to stop the growth of our country. 

How can any true Indian get happy on such things.! Keep politics aside for a while.",Lucknow
"@PiyushGoyal Super Shri Narendra Modi ji 🙏
Reacting to over provoked individuals who are not a experience in politics.
More tough, like things, decision needed on such politicians who defame our country,or may even go beyond by asking other Mjr cntris,ho r  ferd by Indian economic policies.",Chennai
@NewsArenaIndia In Delhi assembly he always discusses central politics. What do he do as CM? What is the point of discussing MODI in Delhi assembly that too without proof.  Most useless fellow in Indian politics,Hyderabad
"Ashwini Vaishnaw hit out at Rahul Gandhi and alleged that the Congress MP was disqualified from Lok Sabha because of his “arrogance”.
#RahulGhandi #RahulGandhi #RahulDisqualified #Rahul_Gandhi #Indian #Indian2 #Politics #PoliticsLive #PoliticsToday #LokSabha #INDIANPOLITICS https://t.co/owgbbF4A2n",Bengaluru
Same to Rajeev Ghandy as he could not find any in India other than Italy !! Jaishankar's Japanese wife and children didn't interfere in Indian politics but Rajeev's wife and children very much and wanted to be King themselves! This is the difference between the two families.,Kolkata
"@MusbauMUKAILA2 @kevin_oku @kenstine @GazetteNGR You should be the one to start your trip to hell.
You know nothing about international politics; yet you're a self acclaimed lawyer...
Na charge and bail one wey dey hang around for court vicinity you go be.",Chennai
"In a conversation with @HeenaAsks editorial consultant of .@IGPPVMF ,  Dr. Manindra Nath Thakur lucidly explains the contemporary Indian politics through concepts like #democracy , #Marxism, #political  theory. Please watch .@JNU_official_50 .@PolStudiesAssoc",Pune
"#SaveSoil
Pranams.
Please accept our humblest obeisances.
Providing incentives, and procuring the rice, wheat, and the millets from the farmers by the Indian government will enable India to combat desertification.
(1/n)
https://t.co/nvhwkHGfKl https://t.co/bR1Oe1JSDL",Hyderabad
"@LavanyaBallal the Ashwamedha Yagna has started for RaGa, just wait and watch the annihilation of the BJP and it's cronies. 
He's gonna be the Ajathashathru of Indian politics from now onwards. 

Let's rally behind him and make this a reality Lavanya....",Mumbai
@t_d_h_nair She is not into Indian politics Ravi. But the other lady has always been. She had even more powers than PMO during UPA. Missed these during the excitement of tweeting didnt you ?,Lucknow
"@ANI 🤣🤣 oh godd 
Indian politics is at its peak",Hyderabad
@_cheese_corn Sad reality of Indian politics,Chennai
@Walkingmiless @sheenuuuufan Due to Politics? I am pretty sure in ur view it's Indian governments fault right? Aman ki Asha gangs.,Delhi
"@TVMohandasPai @RoKhanna Mr. Pai, they know that. Ro knows why the ""access to internet"" was temporarily cut off. But he has allies to please. He's probably done the math and he can't win just on the Indian American votes alone.
But he can't bring his partisan politics to the India caucus. That's a no-go.",Lucknow
"@rasheedkidwai The interview is simply marvellous. Understanding of Rashid Kidwai of Indian politics is simply superb, no match whatsoever. He is unbiased, straight,  cut dry .If  political class  follows him judiciously, they would need no other lessons to learn and hit their adversaries hard",Hyderabad
"@AapKaGopalRai These corrupt ppl are the group of swindlers. I appeal to all patriots pls come together &amp; kick-out all this nonsense/cheap/corrupts/dishonest &amp; so-called politician from Indian politics &amp; country as well.
@yadavakhilesh @PawarSpeaks @OfficeofUT @ArvindKejriwal @RahulGandhi",Jaipur
"@FltLtAnoopVerma Rahul Gandhi's contribution to Indian politics is unparalleled. Due to him, the NOTA eats up a chunk of congress votes.",Hyderabad
"@AdvaitChaitany4 @ItsLucky_Sahu @RVCJ_FB Movies like Mayabazar ( which pulled of effects like never seen in Indian cinema ) even today filmmakers take something from those movies wasn't sent by FFI 😂 and mother india was sent.
Even Ray's films were ignored and hindi films were sent. That's the politics !",Lucknow
"Absolutely. But the funny thing is he said all that to prove that Indian people have stopped coming out on the streets to fight against ""injustice"".  They are simply unable to wrap their head around the fact that the country has evolved out of their politics.",Jaipur
"How the Indian politics should be? explained by KTR. @KTRBRS @Nallabalu1 
while I was watching, I was just imagining Bandi Sanjay in such discussion. 😂
Shut Up Ya Kunal - Episode 27 - KT Rama Rao (Minister, Telangana) https://t.co/K6PqpHqRAH via @YouTube",Bengaluru
"Mine is not a controversial opinion but people who regularly follow Indian politics have literally become obsessed with him, be it his fans or haters. Their day is incomplete without mentioning Modi's name.",Pune
@spitting420 @AndrewP7781 @Luckyytweets @mufaddal_vohra bruh whole indian fans including mi fans know ishan is not even close to ruturaj. Rutu doesnt have mi lobby to be backed but he has highest list A average in the world. Ishan doesnt have a single good innings in last 12-15 t20i but i still playing while rutu is benched. politics,Ahmedabad
@t_d_h_nair Indeed but she is not active in Indian politics,Bengaluru
"@Klaus_Arminius @Sanjay_Dixit Canadian born, Canadian man who was allowed to carry a knife as a part of his religion. He has nothing “Indian”. To top it all, his alleged hatred for Hindus and India is part of social media gossip.",Jaipur
"@ArvindKejriwal and his eternal truth. 

Not interested in fighting elections
Doesn't want to hold any positions

The biggest scam ever happened in Indian Politics after Nehrus become Gandhis

#KejriwalExposed @MeghUpdates @Starboy2079",Hyderabad
@Sudarshan_Mlth @t_d_h_nair Alleged. He is the zakir naik of indian politics,Jaipur
"@bibhu2000 @timesofindia I know everything, he is irrelevant in #BJP as well as in Indian politics.

This is a govt of One &amp; a half people",Lucknow
"@palltu @t_d_h_nair And Jaishankar has been very specific that neither his spouse nor his kids will ever be a part of Indian Politics, and how did yiu assume his wife doesn't dare interfere in Indian Piktics. Are you the fly on the wall in that room where this was discussed?",Kolkata
@RCUpadhyay14 @t_d_h_nair So Jaishankar has provided a bond that his spouse or children will never ever have anything to do with Indian Politics?,Mumbai
"@BurntOutCase Yeah sure, first use your ancestors in the argument to establish some credibility and weight, and when your argument is shot down with facts, Cry. That's a clever strategy,but not a good one. Also, Ro has no locus standi as far as Indian politics is concerned.",Delhi
@BellamSwathi @t_d_h_nair So Jaishankar has provided a Bond to the GOI that none of his kids will ever enter Indian Politics? And you are in possession of it!,Hyderabad
"@karatalaamalaka Yea but what business does he have in bringing his partisan politics to the India Caucus?
I'd rather have any other person that stands up to the Khalistanis and Islamists than a Hindu who's cowed.
Okay, please list 5 things he's done for the Indian community.",Chennai
"@timesofindia Sadly, Ashwini Vaishnaw has no relevance in his own party.

Present day Indian politics is revolving around #RahulGandhi",Lucknow
"SC/CJI when Modi govt. is involved, “no Sealed Cover” we need transparency!

SC when their own Ex-Judge is involved, all records in “Sealed Cover”
(What transparency?)

Waah MiLords!! 

Gajab Politics! 

#SupremeCourt #SC #cjichandrachud #CJIDYChandrachud https://t.co/tfxbrtRN78",Pune
@t_d_h_nair Let them be their wives but none of them interfered with Indian politics or became party chiefs like this sonia gandhi,Hyderabad
"""Rahul Gandhi has emerged as the biggest hero of Indian Politics""

- TMC MP Shatrughan Sinha.",Ahmedabad
You discussed majorly @ImranKhanPTI and Pakistani politics instead of a balanced comparison between India-Pak regime changes. So now the Indian public would get to know more about Khan in your article.,Pune
"Several celebrities from the Indian film industry have reacted to Priyanka Chopra's bombshell interview with Dax Shepard where she revealed that politics in Bollywood led to her move to the West

https://t.co/IGv03mI8Zg",Hyderabad
"LIVE | ‘Rahul does politics of entitlement, thinks its his birthright to rule the country,’ says Union Minister Ashwini Vaishnaw

#RahulGandhi #Congress #BJP 

Follow for the latest: https://t.co/x5l9hTVK9m",Jaipur
@sujataanandan @smritiirani @DrSJaishankar @narendramodi He is 100% Indian. His wife who has nothing to do with politics is Japanese  and their kids areny in politics either  . Unlike the defacto  supremo of INC . Sorry to bust your bubble u r comparing apples to oranges . There is no logic to your diatribe !,Bengaluru
@WilfredQuadros1 @DrSJaishankar He is 100% Indian. His wife who has nothing to do with politics is Japanese  and their kids areny in politics either  . Unlike the defacto  supremo of INC . Sorry to bust your bubble u r comparing apples to oranges,Ahmedabad
Rahul is going to prison. Papua was a liar of Indian politics. https://t.co/48HdGizjRx,Mumbai
@OdiSriUS It’s a well planned strategy. Clue: look for history of German politics 1930-1940. Another clue: see why citizens of Israel protesting loudly against curtailing Judicial freedom. And see why Indian ruling party wants to remove collegium system.,Hyderabad
@cbcnewsbc Indian politics,Ahmedabad
"@Bhavik2301 @JIX5A Its not only in common people Even our politician, actors, influencer all have this complex
*Rahul gandhi beg west to interrupt in indian politics
*actors eagerly waiting for Hollywd debut even for 1-2min role
*we believe more in west fake media or index than indian media&amp;data",Mumbai
"@rautsanjay61 Exactly...that's how all Congress and their followers are still stick with old leaders. We need great leaders alive and just blessing from historical one. But now it's habit to earn bread butter with father or grand father,  mother name in politics. Prove yourself first...",Hyderabad
"@MuqtedarKhan @OmarAbedeen1 Recommend have Have talk show with Advocate @Dr_RizwanAhmed 
on all burning issues connected with  Socio Politics on Indian  Muslims.",Jaipur
@pbhushan1 Ye dekho...this guy does not have basic politics knowledge....come back of RG in 2024? Just one month back congress and Mr RG miserably lost the North east election...where were u that time? That election was happened just after bharat yatra..  Kaya hua yatra ka?,Kolkata
"Clutter &amp; garbage in the head, big mouth only to speak, hazy vision, no real education &amp; knowledge, backed &amp; irritated by fake info &amp; literacy is what #Oppsition #politics is all about in #Indian context. Frustration at peak to see they have no future left. Pittiable bunch of...",Bengaluru
"@priyankac19 @SEBI_India You people are working very hard to destroy Indian businesses. 

Your hate is transforming into a hate for India and everyone who becomes a part of growth story of India. 

Leave the business world out of your petty politics. Please 🙏🙏",Delhi
@TajinderBagga @nityamodanwal Kejriwal is biggest mistake of Indian politics and has gone to lowest level! He is obsessed with Modi ji!,Kolkata
@ArvindKejriwal This man is Con man. Must be thrown out of Indian politics. And he will be.,Pune
"@indhavaainko Our MEA spouse is playing her role properly as a housewife. never interfering with Indian politics.
But Edvige Antonia Albina Maino isn't. She thinks her family owns the country",Hyderabad
"#PriyankaChopra #TheIndianExpress
Priyanka Chopra says she moved to the US because had ‘beef’ with people in Bollywood: ‘Was being pushed into a corner, was tired of the politics’ - The Indian Express
https://t.co/EXDil0sqTN",Bengaluru
"For the record, we are completely against foreign interfrence in Indian affairs. Those who seek such interferene will have no place in Indian politics &amp; will be voted out. High time #India started publishing #HumanRights reports of other countries. #RahulGhandi #SaveDemocracy",Jaipur
The Indian public sphere has been force-fed so much politics over decades that the Election Commission announcing dates for 1 state poll is '#BreakingNews'. Some media mediocrities energetically shrink public discourse in the world's most exciting country!🙄,Delhi
"@SridharanP17 In my personal opinion, I have never seen a person like Annamalai before in Indian politics. I feel he is the younger version of our PM, Narendra Modi. 
I do not remember any politician before who qualified equivalent to Annamalai's grade",Ahmedabad
@ArvindKejriwal Sir you are the most notorious liar besides pappu in Indian politics,Delhi
@palkisu Fake news being spread by Indian news outlets. USA is monitoring the situation. Period! Nothing about getting involved in India's internal politics.,Delhi
@WilfredQuadros1 @DrSJaishankar His son is not in Indian politics claiming to be working for Indian people. his son is working elsewhere and does not do the dramas of patriotism.,Lucknow
"@LoyalistLelouch It's root is Portuguese casta🤦🏿, jaati Varna Kula is more complex Indian system, she's fighting the colonial narrative of ""Indian relegion is a cast pyramid"", i have problem with you furthering it by separating Dalits &amp; tribals as ""not hindu"" is same colonial divisive politics",Kolkata
@AjitSinghRathi @pushkar @PMOIndia This Gama is the reason behind the dity politics in Dehradun .. He should be Thrown out from the Mayor post.. He is done looting the Hardearned money of the People.,Jaipur
@t_d_h_nair The difference is Japanese don’t interfere in Indian politics but Italian is !,Chennai
"@bhs7rocks PM Modi gives ghanta attention to him.Even if this rascal goes door to door &amp; says PM Modi is corrupt, no Indian will believe him. He is correct when he says in politics perception is very important. Indians perceive PM as honest, hoard working &amp; incorruptible.",Hyderabad
@ss_suryawanshi @NewIndianXpress You always land up giving credit to Sharad Pawar for anything that happens in Indian Politics.... Sharad Pawar is not even a full fledged regional leader ....,Hyderabad
"@nytimes It was a fabricated and political motivated verdict from Modi authoritarian regime. I am not involved in Indian politics but something doesn't smell right about the verdict outcome. After Rahul Gandhi speech in Cambridge University and UK Parliament, the Modi party...",Mumbai
"@SGPCAmritsar @Twitter Religious bodies if indulging in politics and spreading hate , then not only profile but organisations should also be banned in india like PFI .",Mumbai
"@republic Why Americans always interfere in indian politics and judiciary related points
When their own country have many serious issues like gun culture, he /she/its
Lobby and dangerous wokes",Kolkata
"That's what we have been applying in Indian politics, isn't it ??",Lucknow
"If Rahul Gandhi decides to go to jail without taking bail, then can it be a game changer event for him and for Indian politics? https://t.co/bsSqyD6Mig",Kolkata
@AleemIlahi people of South hate communal politics.many South Indian gods r being forgotten... slowly Hindi is getting imposed...our culture our language is getting vanished by this dirty politics.. history has forgotten our bhakti saints nd pol.thinkers..#savesouthindiafrombjp,Bengaluru
"@1shankarsharma What is relevance of an abusive, divisive, corrupt and rudderless opposition in India?
Arvind Kejriwal is Natwarlal of Indian politics. Congress lacks a credible leader. TMC, BRS, JDU, RJD, DMK hv no political development agenda excepting anti-Modi venom and caste based politics.",Bengaluru
"If you don't like ""outside intereference in Indian politics then 

Why does your party set up ""friends of BJP"" unit in various countries?

Why not abolish NRI Voting Rights?

Why did BJP start Foreign Outreach programme last year to apprise foreign envoys about the party?",Delhi
"No country can prosper by letting go the brightest minds. Reservation eventually works against the long term benefits of the downtrodden. 
Best minds would have created jobs for everyone but in Indian politics, where instant satisfaction triumphs sustainable good, reservation has…",Kolkata
@RoKhanna @narendramodi RG &amp; congress resorted to political fight instead of legal fight. Congress is capable of fighting and Indian politics doesn't need outside intervention. Better US or ur stooge Soros doesn't poke ur nose.,Ahmedabad
@republic @anilkantony Indian National Congress is irrelevent in Current politics. Please strengthen opposition unity under the leadership of CPIM,Kolkata
@noconversion @ArvindKejriwal biggest fraud of India Politics . Such a shame for Indian democracy .,Bengaluru
"@GauthamMachaiah @JanataDal_S @hd_kumaraswamy Journalist openly supporting the jumla:-) what’s so refreshing in that as we are so so used to these promises . In the name of poor, our politicians have built mansions and dare them to allocate seats to poor and bring them to mainstream politics!",Chennai
"@NarundarM So Raga can't have courage to fight elections using his own strategies and plans

That's why he is using the help from the outside to interfere in India internal politics",Bengaluru
"@MasterJD47 @sansbarrier Yet another faceless coward, an internet clown who is a fan of the current highly trolled Kollywood clown, is blind about every other abuser in politics &amp; is calling an Indian living legend shameless for appreciating only ""Kishore's guts"" that too in private.",Jaipur
"@peepoye_ Hollywood or Bollywood, both have bad people. Bollywood is just an easy target for Indian Politics",Hyderabad
"@news24tvchannel @RanjitSavarkar Is it TRUE? In 1911, Savarkar was sentenced to 50 years in the cellular jail of Andamans, also known as Kala Pani for revolting against the Morley-Minto reforms (Indian Councils Act 1909). After several mercy petitions for not participating in politics, he was released in 1924",Jaipur
@WokeJanta @SGPCAmritsar Agree ✅✅ …state and central govts must forget vote politics for a while and start taking actions against these antinational activities .,Delhi
"the fact that @RahulGandhi who has achieved nothing in his career gets so much importance in India is frightening.. it actually explains why @narendramodi enjoys a #demigod status.. the story of Indian politics can be titled as ""a pompous failure &amp; a modest debacle""",Lucknow
"@steve_hanke Steve, there are children killed in your own schools by your own kids. More deaths than the number of days gone by this year. 
Do something, if possible to solve that in your own backyard when you choose to digress away from Economics than parroting something on Indian politics",Lucknow
"@RoKhanna @mairal You are a good man Mr.Khanna.Indian politics is very complex,very complicated.Our politics has long history and living/working in the USA it is difficult to understand and appreciate the context and https://t.co/XYGKfVB45D rest assured democracy is living and vigorous here.",Jaipur
Yes NRIs and Indian-born US/UK/Canadian Hindu citizens are interfering with Indian politics. #jaishankar gets that right in this very confused tripping over his words propaganda for #KarnatakaElections2023 😂https://t.co/KuCJ8O3k4U,Pune
"@ArvindKejriwal ## Is Kejriwal  the only IIT ian in Indian Politics  ?? If not, then why does he degrade others ?? If he is so honest then why does he disrespect  Anna Hazare ?? As because Anna Hazare is not an IIT ian  ??",Lucknow
#BuntyAndBabli of Indian politics #Pappu ji #RahulGandhi and #PriyankaGandhiVadra you are too much…..🤪🤪🤪 https://t.co/A925O8tDBl,Pune
@srinivasiyc shame on you for using inquilab...to support an italian half wit...our ancestors used it to remove brits...no italian half blood will be allowed into Indian politics ever...INC Quit India...,Chennai
"The jailing of #ManishSisodia and #SatyendarJain has forced Delhi CM #ArvindKejriwal to return to a brand of politics in which Modi is marked as the ""enemy"" in no uncertain terms.

@Sourav_RB reports 

https://t.co/X0MqFfxs3N",Delhi
@MahuaMoitra Do you have any plan of launching your Husband in Indian Politics???,Bengaluru
"@t_d_h_nair Jaishankar's wife is not in active politics nor is she forcing her kids on BJP to be the next party president. 
Let me remind u book licker, the bar dancer did not accept indian citizenship till 19years after her marriage to RG, ofcourse until she got an opportune moment!",Mumbai
@RVCJ_FB I want to move to US due to Indian RW politics 😑,Delhi
@GemsOfCricket But indian mix politics in cricket,Mumbai
@Supriya23bh @adhirrcinc Obviously... Corruption brings all sections of the Political spectrum under the same roof quite naturally. And BRS is like a Chilkha of a Peanut in Indian Politics.,Delhi
@Shikha__Rawat RAGA will going to rock in Indian politics 🔥🔥🔥🔥🔥🔥🔥,Lucknow
@Saurabh_MLAgk @ArvindKejriwal Itna Ganda admi aur itni bachkani bate karne wala most third class admi Maine nahi dekha. @ArvindKejriwal u are a shame on Indian politics.,Bengaluru
Indian politics (and hence the State) will become Hindu friendly the day Hindus become Hindu friendly.,Bengaluru
"@suvojitc @khushsundar @narendramodi She is invited guest doctor from Romania, expert on TB. She won’t know much about Indian politics. Khushbu is trying to boost Modi image. She has to praise. Nothing great.",Kolkata
"@t_d_h_nair Hmmm, but his wife is not interfering in Indian politics. That's the reason I always recommend, that you should have laxative. You are now constipated for ideas to ąțťack of BJP 😂😂😂😂",Ahmedabad
@sanjeevsanyal @narendramodi ji @NayyarSanjeev @YusufDFI Indian politicians directly/ indirectly talking about domestic politics overseas in any forum should be banned. Don’t blame Rahul for what was started at Madison Square.  Besides why should he use Nehru as family name?,Delhi
@murujUP @breaker91545406 @B3nd3rISGr3at34 @BrndnStrssng i’m of the same opinion man. How y’all actually speaking about indian politics and their dynamics without actually ever living there?,Lucknow
@MuraliSeshadri @t_d_h_nair Does the Indian Constitution restrict people of foreign birth married to Indian and hold Indian citizenship from joining  politics?,Lucknow
"Sonia family  agent of foreign power,  being protected by them, to ensure they remain relavent in indian politics. Conspiracy against India to get rid of Modi. Wakeup call for Nationalist Indians. #USABacksRahul",Pune
"@shoos4u @PrinceArihan @narendramodi Real face of Indian Politics and Judiciary 
👇
As long as these leaders and powerful people are there law would be overlooked and no one is feared 
No one is there for constitutional law to be implement and so innocent people and common man suffers

#JusticeForSushantSinghRajput",Jaipur
@AamAadmiParty @ArvindKejriwal I haven’t seen a kachra politician like Arvind Kejriwal. Lowest point in Indian politics,Chennai
"@HinduAmericans @RoKhanna How in the world did Hindus in India allow anti-Hindu, anti-India  Indian National Congress  to represent them in world, I will never understand!

These descendants of Congress went into politics in the US &amp; UK.",Jaipur
These guys take dig at India to get political mileage in their American  Domestic Politics. 1) American CIA anti- Indian Puppets.   2) Appeasing 2million + Pakistanis 3) Attract A few Khalistani Votes,Pune
@smritiirani Mam is so spot on. Indians have a right to reject @RahulGandhi and his cries for help from foreign intervention  into Indian politics.,Delhi
"Priyanka Chopra says she moved to the US because had to take ‘beef’ with people in Bollywood: ‘Was being pushed into a corner, was tired of the politics’
Priyanka Chopra said that she moved to the US because she had some 'beef' with people in the Indian film industry and wanted a…",Pune
Politics makes men mad. https://t.co/771lafeH46,Bengaluru
Dictatorship never survived in the history and will not be survived in present too. A big revolution will be coming soon in Indian Politics,Ahmedabad
@j_singh_001 @CJBdingo25 @FBI Punjabi as a Language is mainstream in Indian Hindi movies and songs. One of the many reasons people understand it to a large extent.,Mumbai
"@DystopiaReason @azizs01 I have gone to his channel pta kuch hota ni indian history, politics bs gyaan chodna h https://t.co/en490YOi0e",Delhi
"Why India has one union government to keep on increasing price of essential lifeline medicines. 
Dear North Indian pls think and vote. Don't allow them to mix the religion in politics.
Bjp is not fit for Indians and India.
@TribalArmy @INCIndia @samajwadiparty @bspindia",Ahmedabad
#USABacksRahul Maybe now India should intervene in US politics and demand they send an observer to USA to take care of the GUN Violence that is rampant across the States. This Indian observer will liaise with the American Govt to ensure student safety. 29-3-2023.,Bengaluru
#Awareness in terms of Indian politics. Hurdles and Challenges #Telangana government facing to build world class Telangana @KTRBRS,Jaipur
"Dear @RahulGandhi seeing recent developments in Indian politics, made me think that it's high time to save the constitution and democratic values.
You are cordially invited to stay at my home
#MeraGharAapkaGhar",Jaipur
@kumarmanish9 Because @BBCWorld is always interested in indian politics only.,Bengaluru
"@muditbhaardwaaj @RichaTh2212 @WinRussiawill That part mostly applies to India, cuz appeasing voters isn't really an issue for the Chinese statesmen. Indian leaders have a way of saying exactly what the gathered crowd wants to hear, then word around it once they're in power. Domestic politics rarely affect foreign relations",Ahmedabad
"Power hunger will take people to a place where they can't return.
They compromise to any lower extent to reach or keep their place 
Values, ethics, morals are only words for them and that to tell other people they just need power
#politics 
#values 
#ethics #life #LAW",Jaipur
"@KapilSibal Why did he delete all the defamatory tweets on Veer Savarkar Ji? Lagta hai sach mein Hawa nikal gai 🤡 
He should live with his ailing old mother and take care of her like a good Indian kid … petty politics is spewing venom and conspiring against own motherland.",Pune
"@KapilSibal Who started religion based discrimination,or politics on caste and vote bank? Who started quota politics? Does Indian majority understand the why not equality on laws of land prevail even on religions. Let Hindu have right to travel free on pilgrimage?",Chennai
